#ies_format_version: 1.0
#file: 20251209_11000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 7
#timestep_sec: 11.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	str1_cell1_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell1)
#005;	str1_cell1_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell1)
#006;	str1_cell1_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell1)
#007;	str1_cell2_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell2)
#008;	str1_cell2_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell2)
#009;	str1_cell2_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell2)
YYYYMMDD;	hhmmss;	unixtimestamp;	str1_cell1_R;	str1_cell1_V;	str1_cell1_T;	str1_cell2_R;	str1_cell2_V;	str1_cell2_T
20251209;	091138;	1765246298.000;	        err7;	        err7;	        err7;	        err7;	        err7;	        err7
20251209;	091149;	1765246309.000;	       err21;	       err21;	       err21;	       err21;	       err21;	       err21
20251209;	091200;	1765246320.000;	       err21;	       err21;	       err21;	       err21;	       err21;	       err21
20251209;	091211;	1765246331.000;	       err21;	       err21;	       err21;	       err21;	       err21;	       err21
20251209;	091222;	1765246342.000;	       err21;	       err21;	       err21;	       err21;	       err21;	       err21
20251209;	091233;	1765246353.000;	       err21;	       err21;	       err21;	       err21;	       err21;	       err21
20251209;	091244;	1765246364.000;	       err21;	       err21;	       err21;	       err21;	       err21;	       err21
20251209;	091255;	1765246375.000;	        err7;	        err7;	        err7;	        err7;	        err7;	        err7
20251209;	091306;	1765246386.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091317;	1765246397.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091328;	1765246408.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091339;	1765246419.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091350;	1765246430.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091401;	1765246441.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091412;	1765246452.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091423;	1765246463.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091434;	1765246474.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091445;	1765246485.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091456;	1765246496.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091507;	1765246507.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091518;	1765246518.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091529;	1765246529.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091540;	1765246540.000;	           0;	           0;	           0;	           0;	           0;	           0
20251209;	091551;	1765246551.000;	           0;	           0;	           0;	           0;	           0;	           0
